LECROYWR640Zi,55822,Waveform
Segments,1,SegmentSize,24886
Segment,TrigTime,TimeSinceSegment1
#1,25-Jun-2026 11:18:56,0                 
Time,Ampl
989211,-125.1761093139648
989212,-108.0574417114258
989213,-90.76519012451172
989214,-73.37555694580078
989215,-56.06698226928711
989216,-39.00089263916016
989217,-21.84861755371094
989218,-4.78458309173584
989219,12.59188175201416
989220,29.89383316040039
989221,47.05769348144531
989222,64.28301239013672
989223,81.3675537109375
989224,98.54165649414063
989225,115.84423828125
989226,133.0236968994141
989227,150.3694000244141
989228,167.8354339599609
989229,-174.7396087646484
989230,-157.4426116943359
989231,-140.1258544921875
989232,-122.9079818725586
989233,-105.5823440551758
989234,-88.22809600830078
989235,-71.02821350097656
989236,-53.67777252197266
989237,-36.52816772460938
989238,-19.18502426147461
989239,-1.897798180580139
989240,15.38769149780273
989241,32.67912673950195
989242,49.94934463500977
989243,67.11997985839844
989244,84.38594818115234
989245,101.8440322875977
989246,119.1018676757813
989247,136.4392700195313
989248,153.6406555175781
989249,170.9996490478516
989250,-171.7881469726563
989251,-154.4495391845703
989252,-137.2002410888672
989253,-119.7710952758789
989254,-102.349235534668
989255,-85.01789093017578
989256,-67.73757171630859
989257,-50.37305068969727
989258,-32.93277740478516
989259,-15.7343053817749
989260,1.504109859466553
989261,18.71199226379395
989262,35.9634895324707
989263,53.24993133544922
989264,70.67474365234375
989265,87.88203430175781
989266,105.0883026123047
989267,122.5763092041016
989268,139.8490142822266
989269,157.0858306884766
989270,174.4063415527344
989271,-168.3040008544922
989272,-151.2903747558594
989273,-134.0316162109375
989274,-116.7997436523438
989275,-99.48846435546875
989276,-82.23748779296875
989277,-65.06343841552734
989278,-47.66666412353516
989279,-30.42905235290527
989280,-12.86575412750244
989281,4.293112277984619
989282,21.54328536987305
989283,38.71494674682617
989284,56.05953216552734
989285,73.37759399414063
989286,90.56658172607422
989287,107.7447662353516
989288,125.0047302246094
989289,142.2338104248047
989290,159.6677856445313
989291,176.904052734375
989292,-165.7926177978516
989293,-148.4867706298828
989294,-131.2929382324219
989295,-113.9128341674805
989296,-96.6358642578125
989297,-79.38529205322266
989298,-62.16838455200195
989299,-44.82564926147461
989300,-27.58390617370605
989301,-10.25981998443604
989302,7.062974452972412
989303,24.32944488525391
989304,41.58229827880859
989305,58.86455917358398
989306,76.18691253662109
989307,93.38507080078125
989308,110.766960144043
989309,128.165771484375
989310,145.6233673095703
989311,162.8327789306641
989312,-179.8012390136719
989313,-162.5204010009766
989314,-145.2390594482422
989315,-127.9738082885742
989316,-110.7798309326172
989317,-93.59561920166016
989318,-76.33293914794922
989319,-59.08956909179688
989320,-41.81754684448242
989321,-24.41730499267578
989322,-7.0720534324646
989323,10.3205099105835
989324,27.61738395690918
989325,44.76420593261719
989326,62.00409698486328
989327,79.37793731689453
989328,96.60673522949219
989329,113.8515472412109
989330,131.1042633056641
989331,148.3450927734375
989332,165.5702056884766
989333,-177.1627349853516
989334,-159.8031463623047
989335,-142.5836181640625
989336,-125.4866485595703
989337,-108.2467651367188
989338,-90.86991119384766
989339,-73.62858581542969
989340,-56.25396728515625
989341,-39.12504959106445
989342,-21.7342357635498
989343,-4.347590923309326
989344,12.87350559234619
989345,30.00885772705078
989346,47.47077941894531
989347,64.7752685546875
989348,82.03527069091797
989349,99.25421905517578
989350,116.4842376708984
989351,133.7895202636719
989352,151.0328979492188
989353,168.2858276367188
989354,-174.3634796142578
989355,-157.0343017578125
989356,-139.6351470947266
989357,-122.3579635620117
989358,-105.0232467651367
989359,-87.83479309082031
989360,-70.50509643554688
989361,-53.22557067871094
989362,-35.89303588867188
989363,-18.42011451721191
989364,-1.186211228370667
989365,16.05528259277344
989366,33.30985260009766
989367,50.59696960449219
989368,67.95499420166016
989369,85.33525848388672
989370,102.6804351806641
989371,119.9017486572266
989372,137.3093566894531
989373,154.6871795654297
989374,171.9719848632813
989375,-170.6767883300781
989376,-153.4094543457031
989377,-136.1084899902344
989378,-118.7094955444336
989379,-101.4528350830078
989380,-84.29064178466797
989381,-67.01505279541016
989382,-49.62592315673828
989383,-32.29772186279297
989384,-15.00856494903564
989385,2.219285249710083
989386,19.50257873535156
989387,36.788330078125
989388,54.00514984130859
989389,71.35361480712891
989390,88.53213500976563
989391,105.9042510986328
989392,123.1176986694336
989393,140.6087188720703
989394,157.9541625976563
989395,175.3762054443359
989396,-167.3045349121094
989397,-149.9966125488281
989398,-132.6645202636719
989399,-115.4405288696289
989400,-98.19211578369141
989401,-80.88038635253906
989402,-63.37770843505859
989403,-46.21738815307617
989404,-28.88223648071289
989405,-11.70211219787598
989406,5.65436840057373
989407,23.03859329223633
989408,40.3414421081543
989409,57.73149490356445
989410,75.08893585205078
989411,92.23954010009766
989412,109.7087707519531
989413,127.0358810424805
989414,144.3056182861328
989415,161.6872711181641
989416,178.964111328125
989417,-163.7360229492188
989418,-146.5085906982422
989419,-129.2337646484375
989420,-112.0653839111328
989421,-94.75053405761719
989422,-77.58855438232422
989423,-60.32220458984375
989424,-42.77743530273438
989425,-25.58069229125977
989426,-8.161224365234375
989427,9.077664375305176
989428,26.29573631286621
989429,43.58832168579102
989430,60.62472534179688
989431,77.88681030273438
989432,95.31253814697266
989433,112.5193176269531
989434,129.7649536132813
989435,147.1310424804688
989436,164.4401397705078
989437,-178.2179107666016
989438,-161.0006713867188
989439,-143.8296966552734
989440,-126.5495300292969
989441,-109.3738479614258
989442,-91.98686981201172
989443,-74.73454284667969
989444,-57.48641204833984
989445,-40.08376693725586
989446,-22.95194816589355
989447,-5.398259162902832
989448,11.86376094818115
989449,29.15583801269531
989450,46.43570709228516
989451,63.60190200805664
989452,80.96891784667969
989453,98.24475860595703
989454,115.4516067504883
989455,132.658935546875
989456,149.9790649414063
989457,167.1718444824219
989458,-175.5608520507813
989459,-158.2663421630859
989460,-141.0746612548828
989461,-123.7034149169922
989462,-106.4780197143555
989463,-89.18309783935547
989464,-71.95552825927734
989465,-54.58147048950195
989466,-37.28025436401367
989467,-19.90373420715332
989468,-2.578042507171631
989469,14.61139583587646
989470,31.90606498718262
989471,49.05198669433594
989472,66.40196990966797
989473,83.65863800048828
989474,100.9495391845703
989475,118.2112808227539
989476,135.4831848144531
989477,152.88134765625
989478,170.0023651123047
989479,-172.6205596923828
989480,-155.2935180664063
989481,-137.9726257324219
989482,-120.76025390625
989483,-103.3450088500977
989484,-86.10324859619141
989485,-68.97542572021484
989486,-51.80399703979492
989487,-34.54144287109375
989488,-17.24658203125
989489,-0.03286833688616753
989490,17.08863830566406
989491,34.48933029174805
989492,51.69491958618164
989493,69.00706481933594
989494,86.29534149169922
989495,103.6730422973633
989496,120.9393615722656
989497,138.2670440673828
989498,155.4956817626953
989499,172.7965545654297
989500,-169.920654296875
989501,-152.5455627441406
989502,-135.2753448486328
989503,-118.0003051757813
989504,-100.8225860595703
989505,-83.63272094726563
989506,-66.24846649169922
989507,-48.91561889648438
989508,-31.56875228881836
989509,-14.31638813018799
989510,3.053658723831177
989511,20.37438583374023
989512,37.62488174438477
989513,54.92276000976563
989514,72.23687744140625
989515,89.55432891845703
989516,106.7528533935547
989517,124.0490570068359
989518,141.3035125732422
989519,158.4945068359375
989520,175.8096313476563
989521,-166.9669342041016
989522,-149.7691040039063
989523,-132.4818725585938
989524,-115.1359786987305
989525,-97.84148406982422
989526,-80.47440338134766
989527,-63.26145172119141
989528,-46.1171989440918
989529,-28.86199188232422
989530,-11.52505016326904
989531,5.66041898727417
989532,22.86363410949707
989533,40.12047576904297
989534,57.62979888916016
989535,74.93511199951172
989536,92.28167724609375
989537,109.4751281738281
989538,126.7658309936523
989539,143.99267578125
989540,161.1323852539063
989541,178.4378051757813
989542,-164.2419738769531
989543,-146.9138336181641
989544,-129.6138916015625
989545,-112.2634201049805
989546,-94.83824920654297
989547,-77.52997589111328
989548,-60.32810974121094
989549,-43.12152481079102
989550,-25.8121395111084
989551,-8.569364547729492
989552,8.655978202819824
989553,25.9521598815918
989554,43.30202865600586
989555,60.47844696044922
989556,77.63247680664063
989557,94.94487762451172
989558,112.2079086303711
989559,129.3812713623047
989560,146.6539611816406
989561,163.9416656494141
989562,-178.7358093261719
989563,-161.3092498779297
989564,-144.0300140380859
989565,-126.7172470092773
989566,-109.4011917114258
989567,-92.11188507080078
989568,-74.78155517578125
989569,-57.45753860473633
989570,-40.15792083740234
989571,-22.80637359619141
989572,-5.707479953765869
